Sr. No.,Sr. No. Hard Copy,Directive No.,Year ID,Fiscal Year,Region ID,Region,Con ID,Constituency Name,Members Type,MP ID,MP Name,Full Name of Party,Party,Amount (Million PKR),Fund Status,Programme,Sector,Project District,Project Area
619,NA,NA,8,2009-10,4,Punjab,187,NA-187 Bahawalpur-V,Elected,132,Chaudhry Saud Majeed,Pakistan Muslim League (N),PML-N,19.996,Consumed,Peoples Works Programme,Missing,,
620,NA,NA,8,2009-10,4,Punjab,188,NA-188 Bahawalnagar-I,Elected,272,Khadim Hussain Wattoo,Pakistan Muslim League,PML,20,Consumed,Peoples Works Programme,Missing,,
621,NA,NA,8,2009-10,4,Punjab,189,NA-189 Bahawalnagar-II,Elected,761,Syed Mumtaz Alam Gillani,Pakistan Peoples Party Parliamentarians,PPPP,12.925,Consumed,Peoples Works Programme,Missing,,
622,NA,NA,8,2009-10,4,Punjab,190,NA-190 Bahawalnagar-III,Elected,99,Chaudhry Abdul Ghafoor,Pakistan Peoples Party Parliamentarians,PPPP,28,Consumed,Peoples Works Programme,Missing,,
623,NA,NA,8,2009-10,4,Punjab,191,NA-191 Bahawalnagar-IV,Elected,120,Chaudhry Muhammad Afzal Sandhu,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
624,NA,NA,8,2009-10,4,Punjab,192,NA-192 Rahim Yar Khan-I,Elected,752,Syed Hamid Saeed Kazmi,Pakistan Peoples Party Parliamentarians,PPPP,19.99,Consumed,Peoples Works Programme,Missing,,
625,NA,NA,8,2009-10,4,Punjab,193,NA-193 Rahim Yar Khan-II,Elected,28,Abdus Sattar,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
626,NA,NA,8,2009-10,4,Punjab,194,NA-194 Rahim Yar Khan-III,Elected,320,Makhdoom Shahabuddin,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
627,NA,NA,8,2009-10,4,Punjab,195,NA-195 Rahim Yar Khan-IV,Elected,251,Jahangir Khan Tareen,Pakistan Muslim League,PML,20,Consumed,Peoples Works Programme,Missing,,
628,NA,NA,8,2009-10,4,Punjab,196,NA-196 Rahim Yar Khan-V,Elected,115,Chaudhry Javed Iqbal Warraich,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
629,NA,NA,8,2009-10,4,Punjab,197,NA-197 Rahim Yar Khan-VI,Elected,430,Muhammad Arshad Khan Leghari,Pakistan Muslim League (N),PML-N,11.315,Consumed,Peoples Works Programme,Missing,,
630,NA,NA,8,2009-10,4,Punjab,273,NA-273,Reserved - Women,247,Ishrat Ashraf,Pakistan Muslim League (N),PML-N,12.457,Consumed,Peoples Works Programme,Missing,,
631,NA,NA,8,2009-10,4,Punjab,275,NA-275,Reserved - Women,565,Qudsia Arshad Chaudhry,Pakistan Muslim League (N),PML-N,19.942,Consumed,Peoples Works Programme,Missing,,
632,NA,NA,8,2009-10,4,Punjab,276,NA-276,Reserved - Women,781,Tahira Aurangzeb,Pakistan Muslim League (N),PML-N,20,Consumed,Peoples Works Programme,Missing,,
633,NA,NA,8,2009-10,4,Punjab,277,NA-277,Reserved - Women,536,Nuzhat Sadiq,Pakistan Muslim League (N),PML-N,17.424,Consumed,Peoples Works Programme,Missing,,
634,NA,NA,8,2009-10,4,Punjab,278,NA-278,Reserved - Women,526,Nighat Parveen Mir,Pakistan Muslim League (N),PML-N,18.502,Consumed,Peoples Works Programme,Missing,,
635,NA,NA,8,2009-10,4,Punjab,279,NA-279,Reserved - Women,277,Khalida Mansoor,Pakistan Muslim League (N),PML-N,16.3,Consumed,Peoples Works Programme,Missing,,
636,NA,NA,8,2009-10,4,Punjab,280,NA-280,Reserved - Women,700,Shahnaz Saleem,Pakistan Muslim League (N),PML-N,20,Consumed,Peoples Works Programme,Missing,,
637,NA,NA,8,2009-10,4,Punjab,281,NA-281,Reserved - Women,542,Parveen Masood Bhatti,Pakistan Muslim League (N),PML-N,19.909,Consumed,Peoples Works Programme,Missing,,
638,NA,NA,8,2009-10,4,Punjab,282,NA-282,Reserved - Women,618,Sabeen Rizvi,Pakistan Muslim League (N),PML-N,19.996,Consumed,Peoples Works Programme,Missing,,
639,NA,NA,8,2009-10,4,Punjab,283,NA-283,Reserved - Women,724,Shireen Arshad Khan,Pakistan Muslim League (N),PML-N,19.3,Consumed,Peoples Works Programme,Missing,,
640,NA,NA,8,2009-10,4,Punjab,284,NA-284,Reserved - Women,733,Surriya Asghar,Pakistan Muslim League (N),PML-N,20,Consumed,Peoples Works Programme,Missing,,
641,NA,NA,8,2009-10,4,Punjab,285,NA-285,Reserved - Women,792,Tasneem Siddiqui,Pakistan Muslim League (N),PML-N,19.5,Consumed,Peoples Works Programme,Missing,,
642,NA,NA,8,2009-10,4,Punjab,286,NA-286,Reserved - Women,532,Nisar Tanveer,Pakistan Muslim League (N),PML-N,20,Consumed,Peoples Works Programme,Missing,,
643,NA,NA,8,2009-10,4,Punjab,287,NA-287,Reserved - Women,693,Shaheen Ashfaq,Pakistan Muslim League (N),PML-N,20,Consumed,Peoples Works Programme,Missing,,
644,NA,NA,8,2009-10,4,Punjab,288,NA-288,Reserved - Women,62,Anusha Rehman,Pakistan Muslim League (N),PML-N,8.115,Consumed,Peoples Works Programme,Missing,,
645,NA,NA,8,2009-10,4,Punjab,289,NA-289,Reserved - Women,614,Rukhsana Bangash,Pakistan Peoples Party Parliamentarians,PPPP,19.7,Consumed,Peoples Works Programme,Missing,,
646,NA,NA,8,2009-10,4,Punjab,290,NA-290,Reserved - Women,702,Shahnaz Wazir Ali,Pakistan Peoples Party Parliamentarians,PPPP,23,Consumed,Peoples Works Programme,Missing,,
647,NA,NA,8,2009-10,4,Punjab,291,NA-291,Reserved - Women,541,Palwasha Khan,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
648,NA,NA,8,2009-10,4,Punjab,292,NA-292,Reserved - Women,89,Belum Hasnain,Pakistan Peoples Party Parliamentarians,PPPP,16.663,Consumed,Peoples Works Programme,Missing,,
649,NA,NA,8,2009-10,4,Punjab,294,NA-294,Reserved - Women,172,Farzana Raja,Pakistan Peoples Party Parliamentarians,PPPP,16.414,Consumed,Peoples Works Programme,Missing,,
650,NA,NA,8,2009-10,4,Punjab,295,NA-295,Reserved - Women,261,Justice (R) Fakhar-un-Nisa Khokhar,Pakistan Peoples Party Parliamentarians,PPPP,13.531,Consumed,Peoples Works Programme,Missing,,
651,NA,NA,8,2009-10,4,Punjab,296,NA-296,Reserved - Women,176,Fauzia Habib,Pakistan Peoples Party Parliamentarians,PPPP,19.704,Consumed,Peoples Works Programme,Missing,,
652,NA,NA,8,2009-10,4,Punjab,297,NA-297,Reserved - Women,705,Shakeela Khanam Rashid,Pakistan Peoples Party Parliamentarians,PPPP,19.5,Consumed,Peoples Works Programme,Missing,,
653,NA,NA,8,2009-10,4,Punjab,298,NA-298,Reserved - Women,804,Yasmeen Rehman,Pakistan Peoples Party Parliamentarians,PPPP,10,Consumed,Peoples Works Programme,Missing,,
654,NA,NA,8,2009-10,4,Punjab,299,NA-299,Reserved - Women,645,Samina Mushtaq Pagganwala,Pakistan Peoples Party Parliamentarians,PPPP,20.261,Consumed,Peoples Works Programme,Missing,,
655,NA,NA,8,2009-10,4,Punjab,300,NA-300,Reserved - Women,503,Naseem Akhter Chaudhry,Pakistan Peoples Party Parliamentarians,PPPP,14.875,Consumed,Peoples Works Programme,Missing,,
656,NA,NA,8,2009-10,4,Punjab,301,NA-301,Reserved - Women,535,Nosheen Saeed,Pakistan Muslim League,PML,14.213,Consumed,Peoples Works Programme,Missing,,
657,NA,NA,8,2009-10,4,Punjab,302,NA-302,Reserved - Women,269,Kashmala Tariq,Pakistan Muslim League,PML,20,Consumed,Peoples Works Programme,Missing,,
658,NA,NA,8,2009-10,4,Punjab,303,NA-303,Reserved - Women,701,Shahnaz Sheikh,Pakistan Muslim League,PML,9.32,Consumed,Peoples Works Programme,Missing,,
659,NA,NA,8,2009-10,4,Punjab,304,NA-304,Reserved - Women,146,Donya Aziz,Pakistan Muslim League,PML,19.708,Consumed,Peoples Works Programme,Missing,,
660,NA,NA,8,2009-10,4,Punjab,305,NA-305,Reserved - Women,74,Atiya Inayatullah,Pakistan Muslim League,PML,9.543,Consumed,Peoples Works Programme,Missing,,
661,NA,NA,8,2009-10,4,Punjab,306,NA-306,Reserved - Women,96,Bushra Rehman,Pakistan Muslim League,PML,10,Consumed,Peoples Works Programme,Missing,,
662,NA,NA,8,2009-10,4,Punjab,307,NA-307,Reserved - Women,350,Marvi Memon,Pakistan Muslim League,PML,17.508,Consumed,Peoples Works Programme,Missing,,
663,NA,NA,8,2009-10,4,Punjab,333,NA-333,Reserved - Minority,691,Shahbaz Bhatti,Pakistan Peoples Party Parliamentarians,PPPP,1.24,Consumed,Peoples Works Programme,Missing,,
664,NA,NA,8,2009-10,4,Punjab,338,NA-338,Reserved - Minority,523,Nelson Azeem,Pakistan Muslim League (N),PML-N,19.991,Consumed,Peoples Works Programme,Missing,,
665,NA,NA,8,2009-10,4,Punjab,340,NA-340,Reserved - Minority,47,Akram Masih Gill,Pakistan Muslim League,PML,20,Consumed,Peoples Works Programme,Missing,,
666,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,135,Chaudhry Shujaat Hussain,Pakistan Muslim League,PML,22.284,Consumed,Peoples Works Programme,Missing,,
667,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,195,Gulshan Saeed,Pakistan Muslim League,PML,20,Consumed,Peoples Works Programme,Missing,,
668,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,228,Haroon Khan,Pakistan Muslim League,PML,20,Consumed,Peoples Works Programme,Missing,,
669,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,306,Lt. Gen. (R) Javed Ashraf,Pakistan Muslim League,PML,19.982,Consumed,Peoples Works Programme,Missing,,
670,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,342,Malik Salahuddin Dogar,Pakistan Peoples Party Parliamentarians,PPPP,19.35,Consumed,Peoples Works Programme,Missing,,
671,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,426,Muhammad Ali Durrani,Pakistan Muslim League,PML,8.069,Consumed,Peoples Works Programme,Missing,,
672,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,449,Muhammad Ishaq Dar,Pakistan Muslim League (N),PML-N,19.819,Consumed,Peoples Works Programme,Missing,,
673,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,452,Muhammad Jehangir Bader,Pakistan Peoples Party Parliamentarians,PPPP,22,Consumed,Peoples Works Programme,Missing,,
674,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,455,Muhammad Kazim Khan,Pakistan Peoples Party Parliamentarians,PPPP,22.5,Consumed,Peoples Works Programme,Missing,,
675,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,489,Mushahidullah Khan,Pakistan Muslim League (N),PML-N,22.125,Consumed,Peoples Works Programme,Missing,,
676,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,496,Naeem Hussain Chattha,Pakistan Muslim League,PML,20,Consumed,Peoples Works Programme,Missing,,
677,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,502,Najma Hameed,Pakistan Muslim League (N),PML-N,19.142,Consumed,Peoples Works Programme,Missing,,
678,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,545,Pervaiz Rashid,Pakistan Muslim League (N),PML-N,22.5,Consumed,Peoples Works Programme,Missing,,
679,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,557,Professor Sajid Mir,Pakistan Muslim League (N),PML-N,19.677,Consumed,Peoples Works Programme,Missing,,
680,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,574,Raja Muhammad Zafarul Haq,Pakistan Muslim League (N),PML-N,18.22,Consumed,Peoples Works Programme,Missing,,
681,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,616,S M Zafar,Pakistan Muslim League,PML,2,Consumed,Peoples Works Programme,Missing,,
682,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,665,Sardar Muhammad Jamal Khan Leghari,Pakistan Muslim League,PML,19.366,Consumed,Peoples Works Programme,Missing,,
683,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,755,Syed Javed Ali Shah,Pakistan Muslim League,PML,9.906,Consumed,Peoples Works Programme,Missing,,
684,NA,NA,8,2009-10,4,Punjab,NA,NA,Senators,807,Zaheeruddin Babar Awan,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
685,NA,NA,8,2009-10,5,Sindh,198,NA-198 Sukkur-cum-shikarpur-I (Old Sukkur-I),Elected,509,Nauman Islam Shaikh,Pakistan Peoples Party Parliamentarians,PPPP,19.1,Consumed,Peoples Works Programme,Missing,,
686,NA,NA,8,2009-10,5,Sindh,199,NA-199 Sukkur-cum-shikarpur-II (Old Sukkur-II),Elected,758,Syed Khurshid Ahmed Shah,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
687,NA,NA,8,2009-10,5,Sindh,200,NA-200 Ghotki-I,Elected,8,Abdul Haq,Pakistan Peoples Party Parliamentarians,PPPP,18.795,Consumed,Peoples Works Programme,Missing,,
688,NA,NA,8,2009-10,5,Sindh,202,NA-202 Shikarpur (Old Shikarpur-I),Elected,38,Aftab Shaban Mirani,Pakistan Peoples Party Parliamentarians,PPPP,15.533,Consumed,Peoples Works Programme,Missing,,
689,NA,NA,8,2009-10,5,Sindh,203,NA-203 Shikarpu-cum-Sukkur-cum-Larkana (Old Shikarpur-II),Elected,183,Ghous Bux Khan Mahar,Pakistan Muslim League,PML,20,Consumed,Peoples Works Programme,Missing,,
690,NA,NA,8,2009-10,5,Sindh,204,NA-204 Larkana (Old Larkana-I),Elected,697,Shahid Hussain Bhutto,Pakistan Peoples Party Parliamentarians,PPPP,19.7,Consumed,Peoples Works Programme,Missing,,
691,NA,NA,8,2009-10,5,Sindh,205,NA-205 Larkana-cum-Kamber Shahdadkot (Old Larkana-II),Elected,522,Nazir Ahmed Bughio,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
692,NA,NA,8,2009-10,5,Sindh,206,NA-206 Kamber Shahdadkot (Old Larkana III),Elected,394,Mir Aamir Ali Khan Magsi,Pakistan Peoples Party Parliamentarians,PPPP,19.996,Consumed,Peoples Works Programme,Missing,,
693,NA,NA,8,2009-10,5,SIndh,207,NA-207 Larkana-cum-Shikarpur-cum-Kamber Shahdadkot (Old Larkana-IV),Elected,169,Faryal Talpur,Pakistan Peoples Party Parliamentarians,PPPP,19.922,Consumed,Peoples Works Programme,Missing,,
694,NA,NA,8,2009-10,5,Sindh,208,NA-208 Jacobabad (Old Jacobabad-I),Elected,386,Meer Aijaz Hussain Khan Jhakrani,Pakistan Peoples Party Parliamentarians,PPPP,19.947,Consumed,Peoples Works Programme,Missing,,
695,NA,NA,8,2009-10,5,Sindh,209,NA-209 Jacobabad-cum-Kashmore (Old Jacobabad-II),Elected,401,Mir Hazar Khan Bijrani,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
696,NA,NA,8,2009-10,5,Sindh,210,NA-210 Kashmore (Old Jacobabad-III),Elected,398,Mir Gul Muhammad Khan Jakhrani,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
697,NA,NA,8,2009-10,5,Sindh,211,NA-211 Naushero Feroze-I,Elected,189,Ghulam Murtaza Khan Jatoi,National Peoples Party,NPP,17.983,Consumed,Peoples Works Programme,Missing,,
698,NA,NA,8,2009-10,5,Sindh,212,NA-212 Naushero Feroze-II,Elected,775,Syed Zafar Ali Shah,Pakistan Peoples Party Parliamentarians,PPPP,18.943,Consumed,Peoples Works Programme,Missing,,
699,NA,NA,8,2009-10,5,Sindh,213,NA-213 Shaheed Benazir Abad-I (Old Nawabshah-I),Elected,85,Azra Fazal Pechuho,Pakistan Peoples Party Parliamentarians,PPPP,19.952,Consumed,Peoples Works Programme,Missing,,
700,NA,NA,8,2009-10,5,Sindh,214,NA-214 Shaheed Benazir Abad-II  (Old Nawabshah-II),Elected,749,Syed Ghulam Mustafa Shah,Pakistan Peoples Party Parliamentarians,PPPP,16.216,Consumed,Peoples Works Programme,Missing,,
701,NA,NA,8,2009-10,5,Sindh,215,NA-215 Khairpur-I,Elected,511,Nawab Ali Wassan,Pakistan Peoples Party Parliamentarians,PPPP,19.993,Consumed,Peoples Works Programme,Missing,,
702,NA,NA,8,2009-10,5,Sindh,216,NA-216 Khairpur-II,Elected,552,Pir Syed Saddaruddin Rashidi,Pakistan Muslim League (F),PML-F,19.881,Consumed,Peoples Works Programme,Missing,,
703,NA,NA,8,2009-10,5,Sindh,217,NA-217 Khairpur-III,Elected,551,Pir Syed Fazal Ali Shah Jeelani,Pakistan Peoples Party Parliamentarians,PPPP,19.658,Consumed,Peoples Works Programme,Missing,,
704,NA,NA,8,2009-10,5,Sindh,218,NA-218 Matiari-cum-Hyderabad (Old Hyderabad-I),Elected,318,Makhdoom Muhammad Amin Fahim,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
705,NA,NA,8,2009-10,5,Sindh,219,NA-219 Hyderabad-I (Old Hyderabad-II),Elected,773,Syed Tayyab Hussain,Muttahidda Qaumi Movement,MQM,28,Consumed,Peoples Works Programme,Missing,,
706,NA,NA,8,2009-10,5,Sindh,220,NA-220 Hyderabad-II (Old Hyderabad-III),Elected,716,Sheikh Salahuddin,Muttahidda Qaumi Movement,MQM,20,Consumed,Peoples Works Programme,Missing,,
707,NA,NA,8,2009-10,5,Sindh,221,NA-221 Hyderabad-cum-Matiari (Old Hyderabad-IV),Elected,740,Syed Amir Ali Shah Jamot,Pakistan Peoples Party Parliamentarians,PPPP,19.931,Consumed,Peoples Works Programme,Missing,,
708,NA,NA,8,2009-10,5,Sindh,222,NA-222 Tando Muhammad Khan-cum-Hyderabade-cum-Badin (Old Hyderabad-V),Elected,764,Syed Naveed Qamar,Pakistan Peoples Party Parliamentarians,PPPP,19.897,Consumed,Peoples Works Programme,Missing,,
709,NA,NA,8,2009-10,5,Sindh,223,NA-223 Tando Allahyar-cum-Matiari (Old Hyderabad-VI),Elected,708,Shamshad Sattar Bachani,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
710,NA,NA,8,2009-10,5,Sindh,224,NA-224 Badin-cum-Tando Muhammad Khan-I (Old Badin-I),Elected,184,Ghulam Ali Nizamani,Pakistan Peoples Party Parliamentarians,PPPP,19.672,Consumed,Peoples Works Programme,Missing,,
711,NA,NA,8,2009-10,5,SIndh,225,NA-225 Badin-cum-Tando Muhammad Khan-II (Old Badin-II),Elected,179,Fehmida Mirza,Pakistan Peoples Party Parliamentarians,PPPP,19.969,Consumed,Peoples Works Programme,Missing,,
712,NA,NA,8,2009-10,5,Sindh,226,NA-226 Mirpurkhas-cum-Umerkot(I) (Old Mirpurkhas-I),Elected,546,Pir Aftab Hussain Shah Jillani,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
713,NA,NA,8,2009-10,5,Sindh,227,NA-227 Mirpurkhas-cum-Umerkot(II)(Old Mirpurkhas-II),Elected,410,Mir Munawar Ali Khan Talpur,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
714,NA,NA,8,2009-10,5,Sindh,228,NA-228 Umerkot (Old Mirpurkhas-III),Elected,516,Nawab Muhammad Yousaf Talpur,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
715,NA,NA,8,2009-10,5,Sindh,229,NA-229 Tharparkar-I,Elected,66,Arbab Zakaullah,Pakistan Muslim League,PML,19.997,Consumed,Peoples Works Programme,Missing,,
716,NA,NA,8,2009-10,5,Sindh,230,NA-230 Tharparkar-II,Elected,188,Ghulam Haider Samejo,Pakistan Muslim League,PML,20,Consumed,Peoples Works Programme,Missing,,
717,NA,NA,8,2009-10,5,Sindh,231,NA-231 Jamshoro (Old Dadu-I),Elected,510,Nawab Abdul Ghani Talpur,Pakistan Peoples Party Parliamentarians,PPPP,17.035,Consumed,Peoples Works Programme,Missing,,
718,NA,NA,8,2009-10,5,Sindh,232,NA-232 Dadu-I (Old Dadu-II),Elected,674,Sardar Rafique Ahmed Jamali,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
719,NA,NA,8,2009-10,5,Sindh,233,NA-233 Dadu-II(Old Dadu-III),Elected,783,Talat Iqbal Mahesar,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
720,NA,NA,8,2009-10,5,Sindh,234,NA-234 Sanghar-I,Elected,156,Faqir Muhammad Jadam Mangrio,Pakistan Muslim League (F),PML-F,20,Consumed,Peoples Works Programme,Missing,,
721,NA,NA,8,2009-10,5,Sindh,235,NA-235 Sanghar-cum-Mirpurkhas-cum-Umerkot (Old Sanghar-II),Elected,186,Ghulam Dastagir Rajar,Pakistan Muslim League (F),PML-F,19.261,Consumed,Peoples Works Programme,Missing,,
722,NA,NA,8,2009-10,5,Sindh,236,NA-236 Sanghar-II (Old Sanghar-III),Elected,610,Roshanuddin Junejo,Pakistan Peoples Party Parliamentarians,PPPP,19.783,Consumed,Peoples Works Programme,Missing,,
723,NA,NA,8,2009-10,5,Sindh,237,NA-237 Thatta-I,Elected,23,Abdul Wahid Soomro,Pakistan Peoples Party Parliamentarians,PPPP,19.98,Consumed,Peoples Works Programme,Missing,,
724,NA,NA,8,2009-10,5,Sindh,238,NA-238 Thatta-II,Elected,744,Syed Ayaz Ali Shah Sherazi,Pakistan Muslim League,PML,10,Consumed,Peoples Works Programme,Missing,,
725,NA,NA,8,2009-10,5,Sindh,239,NA-239 Karachi-I West,Elected,19,Abdul Qadir Patel,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
726,NA,NA,8,2009-10,5,Sindh,240,NA-240 Karachi-II West,Elected,285,Khawaja Sohail Mansoor,Muttahidda Qaumi Movement,MQM,20,Consumed,Peoples Works Programme,Missing,,
727,NA,NA,8,2009-10,5,Sindh,241,NA-241 Karachi-III West,Elected,244,Iqbal Qadri,Muttahidda Qaumi Movement,MQM,20,Consumed,Peoples Works Programme,Missing,,
728,NA,NA,8,2009-10,5,Sindh,242,NA-242 Karachi-IV West,Elected,10,Abdul Kadir Khanzada,Muttahidda Qaumi Movement,MQM,19.838,Consumed,Peoples Works Programme,Missing,,
729,NA,NA,8,2009-10,5,Sindh,243,NA-243 Karachi Central-cum-Karachi West,Elected,24,Abdul Waseem,Muttahidda Qaumi Movement,MQM,20,Consumed,Peoples Works Programme,Missing,,
730,NA,NA,8,2009-10,5,Sindh,244,NA-244 Karachi-VI Central,Elected,716,Sheikh Salahuddin,Muttahidda Qaumi Movement,MQM,20,Consumed,Peoples Works Programme,Missing,,
731,NA,NA,8,2009-10,5,Sindh,245,NA-245 Karachi-VII Central,Elected,161,Farhat Muhammad Khan,Muttahidda Qaumi Movement,MQM,20,Consumed,Peoples Works Programme,Missing,,
732,NA,NA,8,2009-10,5,Sindh,246,NA-246 Karachi-VIII Central,Elected,727,Sufyan Yousaf,Muttahidda Qaumi Movement,MQM,20,Consumed,Peoples Works Programme,Missing,,
733,NA,NA,8,2009-10,5,Sindh,247,NA-247 Karachi-IX Central,Elected,495,Nadeem Ehsan,Muttahidda Qaumi Movement,MQM,20,Consumed,Peoples Works Programme,Missing,,
734,NA,NA,8,2009-10,5,Sindh,248,NA-248 Karachi-X South,Elected,673,Sardar Nabil Ahmed Gabol,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
735,NA,NA,8,2009-10,5,Sindh,249,NA-249 Karachi-XI South,Elected,440,Muhammad Farooq Sattar,Muttahidda Qaumi Movement,MQM,10,Consumed,Peoples Works Programme,Missing,,
736,NA,NA,8,2009-10,5,Sindh,251,NA-251 Karachi-XIII South-cum-Karachi East,Elected,801,Waseem Akhtar,Muttahidda Qaumi Movement,MQM,18.4,Consumed,Peoples Works Programme,Missing,,
737,NA,NA,8,2009-10,5,Sindh,252,NA-252 Karachi-XIV East,Elected,27,Abdur Rashid Godil,Muttahidda Qaumi Movement,MQM,20,Consumed,Peoples Works Programme,Missing,,
738,NA,NA,8,2009-10,5,Sindh,253,NA-253 Karachi-XV East,Elected,751,Syed Haider Abbas Rizvi,Muttahidda Qaumi Movement,MQM,19.997,Consumed,Peoples Works Programme,Missing,,
739,NA,NA,8,2009-10,5,Sindh,254,NA-254 Karachi-XVI East-cum-Malir,Elected,433,Muhammad Ayub Sheikh,Muttahidda Qaumi Movement,MQM,20,Consumed,Peoples Works Programme,Missing,,
740,NA,NA,8,2009-10,5,Sindh,255,NA-255 Karachi-XVII East-cum-Malir,Elected,743,Syed Asif Hasnain,Muttahidda Qaumi Movement,MQM,20,Consumed,Peoples Works Programme,Missing,,
741,NA,NA,8,2009-10,5,Sindh,256,NA-256 Karachi-XVIII East-cum-Malir,Elected,243,Iqbal Muhammad Ali Khan,Muttahidda Qaumi Movement,MQM,20,Consumed,Peoples Works Programme,Missing,,
742,NA,NA,8,2009-10,5,Sindh,257,NA-257 Karachi-XIX Malir-cum-Malir,Elected,638,Sajid Ahmad,Muttahidda Qaumi Movement,MQM,20,Consumed,Peoples Works Programme,Missing,,
743,NA,NA,8,2009-10,5,Sindh,258,NA-258 Karachi-XX Malir-cum-Karachi West,Elected,720,Sher Muhammad Baloch,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
744,NA,NA,8,2009-10,5,Sindh,308,NA-308,Reserved - Women,722,Sherry Rehman,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
745,NA,NA,8,2009-10,5,Sindh,309,NA-309,Reserved - Women,498,Nafisa Shah,Pakistan Peoples Party Parliamentarians,PPPP,19.976,Consumed,Peoples Works Programme,Missing,,
746,NA,NA,8,2009-10,5,Sindh,310,NA-310,Reserved - Women,158,Farahnaz Ispahani,Pakistan Peoples Party Parliamentarians,PPPP,19.968,Consumed,Peoples Works Programme,Missing,,
747,NA,NA,8,2009-10,5,Sindh,311,NA-311,Reserved - Women,613,Rubina Sadat Qaimkhwani,Pakistan Peoples Party Parliamentarians,PPPP,19.906,Consumed,Peoples Works Programme,Missing,,
748,NA,NA,8,2009-10,5,Sindh,312,NA-312,Reserved - Women,177,Fauzia Wahab,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
749,NA,NA,8,2009-10,5,Sindh,313,NA-313,Reserved - Women,689,Shagufta Jumani,Pakistan Peoples Party Parliamentarians,PPPP,20,Consumed,Peoples Works Programme,Missing,,
750,NA,NA,8,2009-10,5,Sindh,314,NA-314,Reserved - Women,390,Mehreen Razaque Bhutto,Pakistan Peoples Party Parliamentarians,PPPP,15.172,Consumed,Peoples Works Programme,Missing,,
751,NA,NA,8,2009-10,5,Sindh,315,NA-315,Reserved - Women,500,Naheed Shahid Ali,Muttahidda Qaumi Movement,MQM,20,Consumed,Peoples Works Programme,Missing,,
752,NA,NA,8,2009-10,5,Sindh,316,NA-316,Reserved - Women,295,Kishwar Zehra,Muttahidda Qaumi Movement,MQM,10,Consumed,Peoples Works Programme,Missing,,
